iter	Passed	Remaining
0	0	83
1	1	77
2	2	75
3	2	70
4	3	69
5	4	72
6	5	71
7	6	70
8	6	69
9	7	68
10	8	67
11	9	66
12	9	65
13	10	65
14	11	64
15	12	63
16	12	62
17	13	62
18	14	61
19	15	60
20	15	60
21	16	59
22	17	58
23	18	57
24	18	56
25	19	56
26	20	55
27	21	54
28	21	53
29	22	52
30	23	52
31	24	51
32	24	50
33	25	49
34	26	49
35	27	48
36	29	49
37	30	49
38	31	48
39	31	47
40	32	46
41	32	45
42	33	44
43	34	43
44	34	42
45	35	41
46	36	40
47	36	39
48	37	38
49	38	38
50	38	37
51	39	36
52	39	35
53	41	34
54	41	33
55	42	33
56	42	32
57	43	31
58	44	30
59	44	29
60	45	29
61	46	28
62	46	27
63	47	26
64	48	25
65	48	25
66	49	24
67	49	23
68	50	22
69	51	21
70	51	21
71	52	20
72	53	19
73	54	19
74	55	18
75	55	17
76	56	16
77	57	16
78	57	15
79	58	14
80	59	14
81	60	13
82	61	12
83	62	11
84	62	11
85	63	10
86	64	9
87	64	8
88	65	8
89	66	7
90	67	6
91	68	5
92	68	5
93	69	4
94	70	3
95	71	2
96	71	2
97	72	1
98	73	0
99	73	0
