iter	Passed	Remaining
0	62	61952
1	62	31415
2	63	21204
3	64	16099
4	65	13040
5	83	13799
6	97	13844
7	99	12276
8	109	12110
9	113	11204
10	117	10546
11	119	9809
12	124	9466
13	129	9109
14	131	8635
15	133	8209
16	139	8069
17	142	7753
18	144	7448
19	147	7221
20	149	6961
21	152	6795
22	163	6965
23	165	6741
24	167	6540
25	170	6370
26	174	6284
27	175	6094
28	183	6151
29	193	6249
30	195	6100
31	197	5963
32	208	6100
33	211	6023
34	218	6030
35	222	5952
36	224	5840
37	227	5759
38	229	5655
39	235	5658
40	241	5640
41	244	5581
42	249	5554
43	251	5465
44	253	5384
45	257	5342
46	261	5292
47	262	5212
48	270	5251
49	272	5178
50	281	5231
51	283	5161
52	285	5096
53	290	5081
54	297	5115
55	304	5134
56	308	5107
57	310	5047
58	312	4991
59	315	4946
60	323	4983
61	328	4972
62	332	4950
63	333	4883
64	336	4833
65	340	4815
66	341	4761
67	344	4718
68	346	4670
69	347	4622
70	350	4585
71	356	4589
72	358	4550
73	360	4508
74	362	4473
75	367	4472
76	369	4426
77	371	4392
78	373	4353
79	375	4317
80	377	4284
81	379	4244
82	382	4220
83	383	4180
84	386	4156
85	387	4121
86	395	4148
87	395	4103
88	396	4062
89	397	4019
90	398	3977
91	398	3936
92	399	3896
93	400	3860
94	401	3825
95	402	3788
96	403	3752
97	403	3716
98	404	3681
99	405	3648
100	406	3617
101	407	3586
102	408	3556
103	409	3525
104	409	3493
105	410	3462
106	411	3432
107	412	3403
108	414	3386
109	414	3357
110	415	3330
111	416	3302
112	417	3281
113	418	3255
114	419	3228
115	420	3201
116	420	3176
117	421	3151
118	422	3128
119	423	3103
120	424	3080
121	424	3055
122	425	3034
123	426	3013
124	427	2992
125	428	2971
126	429	2950
127	429	2928
128	430	2908
129	431	2889
130	432	2870
131	434	2856
132	435	2836
133	435	2816
134	436	2796
135	437	2777
136	437	2758
137	438	2740
138	439	2722
139	440	2705
140	441	2689
141	441	2670
142	444	2664
143	445	2647
144	445	2629
145	446	2612
146	447	2596
147	448	2580
148	449	2565
149	451	2557
150	452	2542
151	453	2528
152	454	2513
153	454	2498
154	455	2483
155	456	2468
156	456	2453
157	457	2440
158	465	2462
159	466	2448
160	466	2432
161	467	2417
162	468	2405
163	469	2391
164	473	2395
165	473	2381
166	478	2384
167	479	2372
168	483	2377
169	484	2364
170	485	2351
171	486	2339
172	486	2326
173	489	2321
174	496	2338
175	498	2331
176	499	2323
177	525	2424
178	528	2422
179	528	2409
180	529	2397
181	530	2384
182	531	2372
183	550	2439
184	552	2434
185	553	2421
186	554	2409
187	555	2397
188	555	2385
189	556	2372
190	557	2360
191	557	2347
192	558	2335
193	560	2327
194	561	2317
195	562	2305
196	562	2294
197	563	2282
198	564	2271
199	564	2259
200	565	2249
201	567	2241
202	568	2230
203	569	2220
204	569	2209
205	570	2198
206	571	2188
207	571	2177
208	573	2170
209	574	2160
210	575	2152
211	576	2142
212	577	2133
213	578	2123
214	580	2119
215	582	2112
216	582	2103
217	583	2093
218	584	2084
219	585	2074
220	585	2065
221	586	2055
222	587	2047
223	588	2037
224	589	2029
225	589	2020
226	590	2012
227	592	2004
228	592	1995
229	594	1989
230	594	1980
231	595	1972
232	596	1963
233	597	1954
234	598	1946
